qid,vid,query,pred_start,pred_end,conf,iou,category
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,114.0,120.0,0.9262,0.0,fg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,84.0,92.0,0.9141,0.0,fg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,0.0,148.0,0.3943,0.16216216216216217,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,30.0,36.0,0.0121,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,42.0,52.0,0.0051,0.4166666666666667,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,110.0,118.0,0.0024,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,4.0,10.0,0.0005,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,76.0,90.0,0.9997,0.75,fg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,106.0,112.0,0.6971,0.0,fg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,76.0,82.0,0.0111,0.25,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,96.0,100.0,0.0023,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,126.0,130.0,0.0014,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,142.0,148.0,0.0003,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,8.0,18.0,0.0002,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,60.0,72.0,0.0002,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,8.0,16.0,0.0002,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,42.0,50.0,0.0002,0.0,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,0.0,150.0,1.0,0.49333333333333335,fg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,6.0,34.0,0.0,0.3783783783783784,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,72.0,90.0,0.0,0.2,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,90.0,128.0,0.0,0.5757575757575758,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,14.0,44.0,0.0,0.40540540540540543,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,42.0,64.0,0.0,0.2972972972972973,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,28.0,56.0,0.0,0.3783783783783784,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,32.0,60.0,0.0,0.3783783783783784,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,46.0,70.0,0.0,0.32432432432432434,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,28.0,52.0,0.0,0.32432432432432434,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,0.0,150.0,0.9998,0.6133333333333333,fg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,48.0,144.0,0.0004,0.88,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,4.0,18.0,0.0003,0.0,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,8.0,24.0,0.0,0.0,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,44.0,70.0,0.0,0.2826086956521739,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,116.0,138.0,0.0,0.2127659574468085,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,136.0,148.0,0.0,0.0,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,38.0,60.0,0.0,0.16326530612244897,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,66.0,82.0,0.0,0.17391304347826086,bg
5979,bP5KfdFJzC4_210.0_360.0,A video showing how to prepare a dish with beans,56.0,78.0,0.0,0.2391304347826087,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,66.0,92.0,0.302,0.2653061224489796,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,92.0,112.0,0.2488,0.1568627450980392,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,0.0,136.0,0.0049,0.7205882352941176,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,130.0,142.0,0.0042,0.0,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,40.0,64.0,0.0039,0.24489795918367346,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,112.0,124.0,0.002,0.0,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,8.0,24.0,0.0007,0.14,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,76.0,92.0,0.0002,0.16326530612244897,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,12.0,24.0,0.0001,0.12244897959183673,bg
6223,bP5KfdFJzC4_360.0_510.0,A woman in plaid black and white is showing images to her kid on her laptop,140.0,148.0,0.0001,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,4.0,48.0,0.9996,0.25,fg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,46.0,52.0,0.0205,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,64.0,68.0,0.0006,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,56.0,64.0,0.0002,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,28.0,80.0,0.0001,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,8.0,16.0,0.0001,0.5,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,38.0,44.0,0.0001,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,96.0,102.0,0.0001,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,110.0,118.0,0.0,0.0,bg
8737,bP5KfdFJzC4_660.0_810.0,A family is playing basketball together on a green court outside.,60.0,68.0,0.0,0.0,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,86.0,150.0,0.9998,0.38666666666666666,fg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,0.0,42.0,0.4541,0.2916666666666667,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,46.0,82.0,0.0,0.25,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,30.0,96.0,0.0,0.4583333333333333,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,30.0,54.0,0.0,0.16666666666666666,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,6.0,24.0,0.0,0.125,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,62.0,76.0,0.0,0.09722222222222222,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,124.0,140.0,0.0,0.1111111111111111,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,24.0,56.0,0.0,0.2222222222222222,bg
8783,bP5KfdFJzC4_510.0_660.0,A kid in blue hoodie is sitting with a paper in front of him and then he starts to writing on the paper,70.0,86.0,0.0,0.1111111111111111,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,2.0,18.0,0.9982,0.6666666666666666,fg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,2.0,8.0,0.0146,0.1111111111111111,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,136.0,150.0,0.0135,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,24.0,28.0,0.0016,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,80.0,88.0,0.0007,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,84.0,92.0,0.0004,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,42.0,50.0,0.0003,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,142.0,150.0,0.0001,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,52.0,86.0,0.0001,0.0,bg
781,nY42UppPhhg_60.0_210.0,Man talks to the camera while fiddling with his mask.,114.0,120.0,0.0,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,78.0,90.0,0.9807,0.42857142857142855,fg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,16.0,26.0,0.9423,0.0,fg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,50.0,68.0,0.439,0.6666666666666666,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,28.0,34.0,0.3709,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,2.0,8.0,0.1109,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,144.0,150.0,0.0026,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,72.0,80.0,0.0019,0.07142857142857142,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,100.0,104.0,0.0014,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,132.0,138.0,0.0003,0.0,bg
3359,nY42UppPhhg_210.0_360.0,Man wears a bandana around his face while out and about.,80.0,96.0,0.0003,0.5,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,64.0,94.0,0.9844,0.5714285714285714,fg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,52.0,86.0,0.0116,0.9444444444444444,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,126.0,136.0,0.0041,0.0,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,144.0,150.0,0.0012,0.0,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,102.0,110.0,0.0006,0.0,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,58.0,76.0,0.0002,0.5,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,12.0,22.0,0.0002,0.0,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,64.0,98.0,0.0001,0.5217391304347826,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,42.0,72.0,0.0001,0.43478260869565216,bg
3503,nY42UppPhhg_360.0_510.0,A man talking from a beach,14.0,26.0,0.0,0.0,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,0.0,22.0,0.998,0.0,fg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,90.0,98.0,0.9211,0.0,fg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,36.0,70.0,0.914,0.7222222222222222,fg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,30.0,50.0,0.3098,0.5,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,110.0,116.0,0.0779,0.0,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,134.0,142.0,0.0584,0.0,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,6.0,120.0,0.0229,0.24561403508771928,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,146.0,150.0,0.007,0.0,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,54.0,74.0,0.0011,0.2,bg
4625,RoripwjYFp8_210.0_360.0,A woman wearing glasses eating something at a street market,0.0,8.0,0.0005,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,22.0,52.0,0.9995,0.6666666666666666,fg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,46.0,54.0,0.0072,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,44.0,48.0,0.0012,0.09090909090909091,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,2.0,8.0,0.0009,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,146.0,150.0,0.0006,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,132.0,140.0,0.0006,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,78.0,84.0,0.0005,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,60.0,70.0,0.0003,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,74.0,100.0,0.0001,0.0,bg
7803,RoripwjYFp8_360.0_510.0,Man in gray top walks from outside to inside.,94.0,100.0,0.0,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,106.0,120.0,0.9475,0.875,fg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,122.0,138.0,0.9448,0.0,fg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,52.0,66.0,0.0058,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,74.0,80.0,0.0015,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,78.0,86.0,0.0007,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,140.0,150.0,0.0005,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,36.0,46.0,0.0004,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,10.0,22.0,0.0002,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,78.0,94.0,0.0002,0.0,bg
8056,RoripwjYFp8_60.0_210.0,Chef makes pizza and cuts it up.,8.0,18.0,0.0001,0.0,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,54.0,88.0,0.9369,0.68,fg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,2.0,150.0,0.5117,0.33783783783783783,fg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,76.0,112.0,0.01,0.19444444444444445,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,18.0,46.0,0.0066,0.08333333333333333,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,106.0,144.0,0.0005,0.0,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,2.0,12.0,0.0002,0.0,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,32.0,128.0,0.0001,0.5208333333333334,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,136.0,148.0,0.0,0.0,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,34.0,64.0,0.0,0.42857142857142855,bg
2321,r7A-cfBq2Xw_210.0_360.0,A girl opening post office mails in a car,70.0,94.0,0.0,0.37037037037037035,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,0.0,40.0,0.9994,0.8695652173913043,fg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,40.0,48.0,0.1161,0.125,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,40.0,42.0,0.0007,0.043478260869565216,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,70.0,74.0,0.0004,0.0,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,126.0,130.0,0.0003,0.0,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,62.0,70.0,0.0003,0.0,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,142.0,148.0,0.0003,0.0,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,0.0,14.0,0.0002,0.30434782608695654,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,48.0,66.0,0.0001,0.0,bg
2343,r7A-cfBq2Xw_360.0_510.0,Blonde girl talks in her car parked in a lot.,88.0,92.0,0.0,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,0.0,24.0,0.9942,0.5833333333333334,fg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,0.0,12.0,0.7053,0.8571428571428571,fg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,148.0,150.0,0.1149,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,138.0,144.0,0.019,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,122.0,132.0,0.0031,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,8.0,124.0,0.0021,0.04838709677419355,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,70.0,104.0,0.0003,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,94.0,108.0,0.0002,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,28.0,38.0,0.0001,0.0,bg
5926,r7A-cfBq2Xw_60.0_210.0,Woman in parked car holds up a blue water bottle,42.0,62.0,0.0,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",10.0,32.0,0.9991,0.0,fg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",38.0,48.0,0.3176,0.45454545454545453,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",32.0,38.0,0.0289,0.2727272727272727,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",6.0,12.0,0.0006,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",66.0,74.0,0.0005,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",54.0,86.0,0.0001,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",62.0,68.0,0.0001,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",118.0,126.0,0.0001,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",130.0,140.0,0.0,0.0,bg
9760,pA6Z-qYhSNg_60.0_210.0,"Different types of meat products are being cut, shaped and prepared.",88.0,94.0,0.0,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,76.0,96.0,0.986,0.0,fg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,8.0,26.0,0.9683,0.0,fg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,100.0,110.0,0.4232,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,2.0,8.0,0.3737,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,24.0,30.0,0.2201,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,126.0,132.0,0.0053,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,62.0,68.0,0.0042,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,92.0,100.0,0.0025,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,140.0,148.0,0.0005,0.0,bg
10029,pA6Z-qYhSNg_360.0_510.0,Man wearing sunglasses in interviewed next to a van.,60.0,80.0,0.0002,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,102.0,122.0,0.9972,0.6153846153846154,fg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,126.0,130.0,0.961,0.0,fg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,92.0,112.0,0.9048,0.6153846153846154,fg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,116.0,126.0,0.5886,0.06666666666666667,fg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,0.0,8.0,0.1342,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,0.0,16.0,0.1126,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,144.0,148.0,0.0126,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,90.0,96.0,0.0022,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,36.0,44.0,0.0004,0.0,bg
10049,pA6Z-qYhSNg_210.0_360.0,Different Facebook posts on transgender bathrooms are shown.,10.0,80.0,0.0004,0.0,bg
